director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
kevin donovan,romany malco,debi mazar,ritchie coster,action|comedy|sci-fi,the tuxedo
geoff murphy,peter greene,brenda bakke,patrick kilpatrick,action|thriller,under siege 2: dark territory
kenneth branagh,colm feore,nonso anozie,gemma chan,action|drama|thriller,jack ryan: shadow recruit
david o. russell,jennifer lawrence,robert de niro,bradley cooper,biography|comedy|drama,joy
babak najafi,gerard butler,radha mitchell,julian kostov,action|crime|drama|thriller,london has fallen
jean-pierre jeunet,gary dourdan,michael wincott,raymond cruz,action|horror|sci-fi,alien: resurrection
antoine fuqua,tate donovan,ned beatty,louis ferreira,action|crime|drama|mystery|thriller,shooter
graham annable,isaac hempstead wright,dee bradley baker,tracy morgan,adventure|animation|comedy|family|fantasy,the boxtrolls
griffin dunne,goran visnjic,dianne wiest,stockard channing,comedy|drama|fantasy|romance,practical magic
phil lord,morgan freeman,will ferrell,alison brie,action|adventure|animation|comedy|family|fantasy,the lego movie
john pasquin,eileen brennan,diedrich bader,treat williams,action|comedy|crime,miss congeniality 2: armed and fabulous
rob bowman,christian bale,gerard butler,matthew mcconaughey,action|adventure|fantasy|sci-fi|thriller,reign of fire
ruben fleischer,ryan gosling,brandon molale,wade williams,action|crime|drama|thriller,gangster squad
harold ramis,olivia wilde,oliver platt,xander berkeley,adventure|comedy,year one
clint eastwood,matt damon,morgan freeman,leleti khumalo,biography|drama|history|sport,invictus
kevin macdonald,robin wright,harry lennix,michael weston,crime|drama|mystery|thriller,state of play
tony gilroy,julia roberts,tom wilkinson,denis o'hare,comedy|crime|romance|thriller,duplicity
donald petrie,steven anthony lawrence,ray walston,michael lerner,comedy|family|sci-fi,my favorite martian
clark johnson,blair brown,david rasche,martin donovan,action|crime|thriller,the sentinel
jorge blanco,dwayne johnson,gary oldman,james corden,adventure|animation|comedy|family|sci-fi,planet 51
stuart baird,tom hardy,levar burton,jonathan frakes,action|adventure|sci-fi|thriller,star trek: nemesis
joel coen,cedric the entertainer,paul adelstein,julia duffy,comedy|crime|romance,intolerable cruelty
robert lorenz,clint eastwood,ed lauter,bob gunton,drama|sport,trouble with the curve
martin campbell,bojana novakovic,ray winstone,denis o'hare,crime|drama|mystery|thriller,edge of darkness
peter hyams,john kapelos,penelope ann miller,chi muoi lo,horror|mystery|sci-fi|thriller,the relic
harold ramis,robert de niro,cathy moriarty,joe viterelli,comedy|crime,analyze that
jon avnet,robert de niro,al pacino,50 cent,action|crime|drama|mystery|thriller,righteous kill
harold becker,bruce willis,miko hughes,carrie preston,action|crime|drama|thriller,mercury rising
joe wright,robert downey jr.,stephen root,rachael harris,biography|drama|music,the soloist
robert redford,matt damon,will smith,charlize theron,drama|fantasy|sport,the legend of bagger vance
cameron crowe,philip seymour hoffman,zooey deschanel,michael angarano,adventure|comedy|drama|music,almost famous
tim hill,bill murray,roger rees,ben falcone,animation|comedy|family|fantasy,garfield 2
lee tamahori,sunny mabrey,nona gaye,xzibit,action|adventure|crime|thriller,xxx: state of the union
scott stewart,josh wingate,alan dale,jacob hopkins,action|fantasy|horror|sci-fi|thriller,priest
patrick gilmore,brad pitt,adriano giannini,timothy west,adventure|animation|comedy|drama|family|fantasy|romance,sinbad: legend of the seven seas
paul w.s. anderson,sean pertwee,joely richardson,kathleen quinlan,horror|sci-fi|thriller,event horizon
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action|adventure|sci-fi,the avengers
tom shadyac,joe morton,susanna thompson,matt craven,drama|fantasy|mystery|romance|thriller,dragonfly
brian de palma,scarlett johansson,mia kirshner,mike starr,crime|drama|mystery|thriller,the black dahlia
tony bill,james franco,tyler labine,philip winchester,action|adventure|drama|history|romance|war,flyboys
rod lurie,clifton collins jr.,delroy lindo,michael irby,action|drama|thriller,the last castle
walter hill,robert forster,wilson cruz,vanessa marshall,horror|sci-fi|thriller,supernova
akiva goldsman,matt bomer,william hurt,kevin corrigan,drama|fantasy|mystery|romance,winter's tale
harald zwart,aidan turner,kevin zegers,cch pounder,fantasy|horror|mystery|romance,the mortal instruments: city of bones
brian robbins,marc blucas,mike o'malley,shawn christian,adventure|comedy|family|romance|sci-fi,meet dave
walter salles,dougray scott,camryn manheim,ariel gade,drama|horror|thriller,dark water
ron howard,matthew mcconaughey,adam goldberg,clint howard,comedy|drama,edtv
iain softley,brendan fraser,stephen graham,jamie foreman,adventure|family|fantasy,inkheart
frank miller,scarlett johansson,jaime king,louis lombardi,action|crime|fantasy|thriller,the spirit
david koepp,johnny depp,olivia munn,ulrich thomsen,action|comedy|mystery|romance,mortdecai
uwe boll,jason statham,mike dopud,tania saulnier,action|adventure|fantasy|thriller,in the name of the king: a dungeon siege tale
martin campbell,angelina jolie pitt,teri polo,noah emmerich,adventure|drama|romance|war,beyond borders
pou-soi cheang,li gong,aaron kwok,eddie peng,action|adventure|fantasy,xi you ji zhi: sun wukong san da baigu jing
john dahl,james franco,clayne crawford,paolo montalban,action|drama|war,the great raid
tim miller,ryan reynolds,ed skrein,stefan kapicic,action|adventure|comedy|romance|sci-fi,deadpool
stephen herek,kelly preston,morgan fairchild,eric mccormack,comedy|drama,holy man
clint eastwood,bradley cooper,leonard roberts,keir o'donnell,action|biography|drama|history|thriller|war,american sniper
rob letterman,odeya rush,dylan minnette,ken marino,adventure|comedy|family|fantasy|horror,goosebumps
unknown,nate richert,soleil moon frye,caroline rhea,comedy|family|fantasy,"sabrina, the teenage witch"
mark waters,jon heder,ivana milicevic,willie garson,comedy|fantasy|romance,just like heaven
brian levant,taylor negron,mark addy,danny woodburn,comedy|family|romance|sci-fi,the flintstones in viva rock vegas
peter macdonald,sylvester stallone,kurtwood smith,richard crenna,action|adventure|thriller|war,rambo iii
george clooney,robert baker,malcolm goodwin,matt bushell,comedy|drama|romance|sport,leatherheads
frank coraci,taylor lautner,adam sandler,jon lovitz,comedy|western,the ridiculous 6
marc lawrence,michael kelly,kim shaw,kevin brown,comedy|drama|romance,did you hear about the morgans?
shawn levy,josh gad,jessica szohr,rob riggle,comedy,the internship
paul w.s. anderson,milla jovovich,boris kodjoe,shawn roberts,action|adventure|horror|sci-fi,resident evil: afterlife
anthony hemingway,david oyelowo,nate parker,tristan mack wilds,action|adventure|drama|history|war,red tails
unknown,chris noth,kristin davis,cynthia nixon,comedy|romance,sex and the city
taylor hackford,keanu reeves,al pacino,charlize theron,drama|mystery|thriller,the devil's advocate
sean anders,adam sandler,leighton meester,will forte,comedy,that's my boy
rob cohen,dennis quaid,brian thompson,terry o'neill,action|adventure|fantasy,dragonheart
brett ratner,salma hayek,don cheadle,chris penn,action|comedy|crime|drama,after the sunset
mark neveldine,nicolas cage,spencer wilding,christopher lambert,action|fantasy|thriller,ghost rider: spirit of vengeance
john madden,christian bale,irene papas,mihalis giannatos,drama|music|romance|war,captain corelli's mandolin
unknown,barry corbin,noureen dewulf,brian austin green,comedy|romance,anger management
adam shankman,vin diesel,brad garrett,tate donovan,action|comedy|drama|family|thriller,the pacifier
kevin bray,dwayne johnson,ashley scott,michael bowen,action|crime,walking tall
robert zemeckis,tom hanks,siobhan fallon hogan,sam anderson,comedy|drama,forrest gump
tim hill,jesse mccartney,beth riesgraf,matthew gray gubler,animation|comedy|family|fantasy|music,alvin and the chipmunks
jay roach,robert de niro,blythe danner,teri polo,comedy,meet the parents
mike gabriel,christian bale,frank welker,irene bedard,adventure|animation|drama|family|history|musical|romance,pocahontas
richard donner,marlon brando,margot kidder,ned beatty,action|adventure|drama|romance|sci-fi,superman
tom shadyac,jada pinkett smith,james coburn,dave chappelle,comedy|romance|sci-fi,the nutty professor
andy tennant,will smith,michael rapaport,kevin sussman,comedy|romance,hitch
sam weisman,brendan fraser,abraham benrubi,holland taylor,action|adventure|comedy|family|romance,george of the jungle
jesse dylan,alyson hannigan,thomas ian nicholas,fred willard,comedy|romance,american wedding
paul greengrass,tom hanks,chris mulkey,michael chernus,biography|drama|thriller,captain phillips
shawn levy,mila kunis,james franco,steve carell,comedy|crime|romance|thriller,date night
brad silberling,eric idle,fred rogers,cathy moriarty,comedy|family|fantasy,casper
antoine fuqua,denzel washington,chloë grace moretz,james wilcox,action|crime|thriller,the equalizer
wayne wang,bob hoskins,frances conroy,natasha richardson,comedy|drama|romance,maid in manhattan
tony scott,denzel washington,viggo mortensen,ricky schroder,action|drama|thriller|war,crimson tide
gabriele muccino,will smith,kurt fuller,james karen,biography|drama,the pursuit of happyness
robert schwentke,erika christensen,michael irby,haley ramm,drama|mystery|thriller,flightplan
barry levinson,demi moore,dylan baker,roma maffia,drama|thriller,disclosure
brad silberling,nicolas cage,andre braugher,colm feore,drama|fantasy|romance,city of angels
quentin tarantino,david carradine,vivica a. fox,chiaki kuriyama,action,kill bill: vol. 1
frank oz,robert downey jr.,adam alexi-malle,jamie kennedy,comedy,bowfinger
unknown,christopher judge,don s. davis,gary jones,action|adventure|drama|sci-fi,stargate sg-1
quentin tarantino,vivica a. fox,michael parks,michael bowen,action|crime|drama|thriller,kill bill: vol. 2
andrey konchalovskiy,sylvester stallone,jack palance,brion james,action|comedy|crime|thriller,tango & cash
robert zemeckis,bruce willis,meryl streep,isabella rossellini,comedy|fantasy|horror,death becomes her
tom dey,xander berkeley,jason connery,kate luyben,action|adventure|comedy|western,shanghai noon
stuart baird,oliver platt,joe morton,j.t. walsh,action|adventure|thriller,executive decision
mark waters,madeline carroll,ophelia lovibond,philip baker hall,comedy|family|fantasy,mr. popper's penguins
rob minkoff,jet li,thomas mcdonell,michael angarano,action|adventure|fantasy,the forbidden kingdom
jimmy hayward,amy poehler,carlos ponce,dan fogler,adventure|animation|comedy|family,free birds
david fincher,charles s. dutton,holt mccallany,paul mcgann,action|horror|sci-fi,alien 3
alan parker,andrea corr,jimmy nail,peter polycarpou,biography|drama|history|musical,evita
john frankenheimer,robert de niro,natascha mcelhone,michael lonsdale,action|adventure|crime|thriller,ronin
stephen hopkins,tom wilkinson,bernard hill,om puri,adventure|drama|horror|thriller,the ghost and the darkness
paul king,julie walters,matt lucas,sally hawkins,animation|comedy|family|fantasy,paddington
akiva schaffer,will forte,nicholas braun,rosemarie dewitt,action|comedy|sci-fi,the watch
william friedkin,connie nielsen,jenna boyd,rex linn,action|crime|drama|thriller,the hunted
jon turteltaub,anthony hopkins,maura tierney,john ashton,drama|thriller,instinct
bobby farrelly,matt damon,terence bernie hines,seymour cassel,comedy,stuck on you
kent alterman,will ferrell,maura tierney,matt walsh,comedy|sport,semi-pro
peter lord,salma hayek,russell tovey,brian blessed,adventure|animation|comedy|family,the pirates! band of misfits
clint eastwood,angelina jolie pitt,michael kelly,colm feore,crime|drama|mystery|thriller,changeling
andrew davis,keanu reeves,morgan freeman,kevin dunn,action|drama|sci-fi|thriller,chain reaction
tony scott,robert de niro,kurt fuller,ellen barkin,action|drama|sport|thriller,the fan
joel schumacher,gerard butler,minnie driver,miranda richardson,drama|musical|romance|thriller,the phantom of the opera
shekhar kapur,eddie redmayne,abbie cornish,jordi mollà,biography|drama|history|war,elizabeth: the golden age
karyn kusama,charlize theron,sophie okonedo,paterson joseph,action|sci-fi,æon flux
ron maxwell,billy campbell,bruce boxleitner,john castle,drama|history|war,gods and generals
robert butler,hector elizondo,lauren holly,jeffrey demunn,action|thriller,turbulence
karey kirkpatrick,stephen root,ronny cox,richard schiff,comedy|drama|family|fantasy,imagine that
james bobin,ty burrell,tina fey,hugh bonneville,adventure|comedy|crime|family|musical,muppets most wanted
jonathan frakes,sophia myles,philip winchester,brady corbet,action|adventure|comedy|family|sci-fi,thunderbirds
steve antin,eric dane,peter gallagher,david walton,drama|music|musical|romance,burlesque
jean-pierre jeunet,denis lavant,andré dussollier,albert dupontel,drama|mystery|romance|war,a very long engagement
stanley kubrick,james mason,shelley winters,lois maxwell,crime|drama|romance,lolita
jim gillespie,sylvester stallone,tom berenger,charles s. dutton,crime|horror|mystery|thriller,eye see you
guillermo del toro,norman reedus,thomas kretschmann,tony curran,action|horror|sci-fi|thriller,blade ii
gabriele muccino,will smith,rosario dawson,madison pettis,drama|romance,seven pounds
walter hill,sylvester stallone,jason momoa,jon seda,action|thriller,bullet to the head
francis ford coppola,al pacino,joe mantegna,bridget fonda,crime|drama,the godfather: part iii
cameron crowe,orlando bloom,kirsten dunst,judy greer,comedy|drama|romance,elizabethtown
anthony russo,todd stashwick,billy gardell,amanda detmer,comedy|romance,"you, me and dupree"
richard lester,margot kidder,ned beatty,jackie cooper,action|adventure|romance|sci-fi,superman ii
martin brest,todd giebenhain,lenny venito,david backus,comedy|crime|romance,gigli
steven zaillian,kate winslet,anthony hopkins,kevin dunn,drama|thriller,all the king's men
john singleton,christian bale,vanessa williams,daniel von bargen,action|crime|thriller,shaft
don bluth,kirsten dunst,kelsey grammer,bernadette peters,adventure|animation|drama|family|fantasy|musical|mystery|romance,anastasia
baz luhrmann,jim broadbent,kylie minogue,richard roxburgh,drama|musical|romance,moulin rouge!
harold becker,steve buscemi,teri polo,matt o'leary,crime|mystery|thriller,domestic disturbance
scott cooper,johnny depp,benedict cumberbatch,adam scott,biography|crime|drama,black mass
clint eastwood,paul walker,chris bauer,tom mccarthy,drama|history|war,flags of our fathers
f. gary gray,gerard butler,leslie bibb,michael kelly,crime|drama|thriller,law abiding citizen
robert rodriguez,quentin tarantino,rosario dawson,zoë bell,action|horror|thriller,grindhouse
jonathan demme,oprah winfrey,kimberly elise,hill harper,drama|history|horror,beloved
curtis hanson,robert downey jr.,robert duvall,kelvin han yee,drama|romance|sport,lucky you
steven spielberg,leonardo dicaprio,tom hanks,jennifer garner,biography|crime|drama,catch me if you can
kathryn bigelow,jennifer ehle,harold perrineau,parker sawyers,drama|history|thriller,zero dark thirty
peyton reed,jon favreau,john michael higgins,ann-margret,comedy|drama|romance,the break-up
phyllida lloyd,colin firth,meryl streep,julie walters,comedy|family|musical|romance,mamma mia!
garry marshall,bradley cooper,taylor lautner,anne hathaway,comedy|romance,valentine's day
jay chandrasekhar,alice greczyn,jessica simpson,michael weston,action|adventure|comedy,the dukes of hazzard
terrence malick,nick stahl,miranda otto,dash mihok,drama|war,the thin red line
david dobkin,ryan reynolds,olivia wilde,mircea monroe,comedy|fantasy,the change-up
milos forman,matt price,gerry becker,tom dreesen,biography|comedy|drama,man on the moon
martin scorsese,robert de niro,don rickles,kevin pollak,biography|crime|drama,casino
pierre morel,kasia smutniak,amber rose revah,rebecca dayan,action|thriller,from paris with love
paul hunter,jaime king,mako,victoria smurfit,action|comedy|fantasy,bulletproof monk
bobby farrelly,robert forster,tony cox,rob moran,comedy,"me, myself & irene"
steve oedekerk,rob paulsen,wanda sykes,maurice lamarche,animation|comedy|family,barnyard
john whitesell,matthew broderick,jorge garcia,alia shawkat,comedy|family,deck the halls
chris weitz,robert pattinson,kristen stewart,taylor lautner,adventure|drama|fantasy|romance,the twilight saga: new moon
andrew adamson,kathleen freeman,chris miller,bobby block,adventure|animation|comedy|family|fantasy,shrek
george nolfi,matt damon,michael kelly,jon stewart,romance|sci-fi|thriller,the adjustment bureau
kevin reynolds,alan rickman,morgan freeman,michael wincott,action|adventure|drama|romance,robin hood: prince of thieves
cameron crowe,tom cruise,kelly preston,bonnie hunt,comedy|drama|romance|sport,jerry maguire
seth macfarlane,mila kunis,seth macfarlane,tom skerritt,comedy|fantasy,ted
james l. brooks,lupe ontiveros,yeardley smith,shirley knight,comedy|drama|romance,as good as it gets
tom shadyac,robin williams,philip seymour hoffman,monica potter,biography|comedy|drama|romance,patch adams
adam mckay,harrison ford,will ferrell,steve carell,comedy,anchorman 2: the legend continues
steven brill,steve buscemi,adam sandler,peter gallagher,comedy|romance,mr. deeds
j.j. abrams,joel courtney,aj michalka,zach mills,mystery|sci-fi|thriller,super 8
steven soderbergh,julia roberts,albert finney,conchata ferrell,biography|drama,erin brockovich
donald petrie,matthew mcconaughey,adam goldberg,thomas lennon,comedy|romance,how to lose a guy in 10 days
phil lord,channing tatum,craig roberts,amber stevens west,action|comedy|crime,22 jump street
neil jordan,brad pitt,tom cruise,kirsten dunst,drama|fantasy|horror,interview with the vampire: the vampire chronicles
peyton reed,bradley cooper,zooey deschanel,danny masterson,comedy|romance,yes man
rawson marshall thurber,dwayne johnson,thomas kretschmann,megan park,action|comedy|crime,central intelligence
chris columbus,julia roberts,liam aiken,herbert russell,comedy|drama,stepmom
sean anders,will ferrell,linda cardellini,mark l. young,comedy|family,daddy's home
rob marshall,johnny depp,meryl streep,anna kendrick,adventure|comedy|drama|fantasy|musical,into the woods
spike lee,denzel washington,james ransone,peter gerety,crime|drama|mystery|thriller,inside man
brian helgeland,bill duke,deborah kara unger,william devane,action|crime|drama|thriller,payback
frank marshall,dylan walsh,joe don baker,grant heslov,action|adventure|mystery|sci-fi,congo
cameron crowe,scarlett johansson,matt damon,stephanie szostak,comedy|drama|family,we bought a zoo
alex proyas,nicolas cage,ben mendelsohn,chandler canterbury,drama|mystery|sci-fi|thriller,knowing
tom dey,bradley cooper,matthew mcconaughey,zooey deschanel,comedy|romance,failure to launch
hideo nakata,naomi watts,gary cole,sissy spacek,horror|mystery,the ring two
glenn ficarra,ryan gosling,emma stone,steve carell,comedy|drama|romance,"crazy, stupid, love."
peter hewitt,bill murray,mark christopher lawrence,michael monks,animation|comedy|family|fantasy,garfield
joe roth,jamie lee curtis,cheech marin,jake busey,comedy|family,christmas with the kranks
bennett miller,philip seymour hoffman,robin wright,brad pitt,biography|drama|sport,moneyball
wolfgang petersen,kevin spacey,morgan freeman,rene russo,action|drama|thriller,outbreak
jaume collet-serra,liam neeson,nate parker,scoot mcnairy,action|mystery|thriller,non-stop
andy fickman,dwayne johnson,billy brown,tom everett scott,action|adventure|family|fantasy|sci-fi|thriller,race to witch mountain
james mcteigue,natalie portman,eddie marsan,rupert graves,action|drama|thriller,v for vendetta
david dobkin,fann wong,anna-louise plowman,georgina chapman,action|adventure|comedy,shanghai knights
unknown,bernard hill,gemma jones,nicola walker,crime|drama,unforgotten
matthew o'callaghan,will ferrell,frank welker,alexander gould,adventure|animation|comedy|family,curious george
angela robinson,scoot mcnairy,thomas lennon,cheryl hines,adventure|comedy|family|fantasy|romance|sport,herbie fully loaded
gary fleder,oliver platt,jennifer esposito,conrad goode,crime|drama|mystery|thriller,don't say a word
tommy wirkola,jeremy renner,derek mears,ingrid bolsø berdal,action|fantasy|horror,hansel & gretel: witch hunters
adrian lyne,olivier martinez,erik per sullivan,chad lowe,drama|thriller,unfaithful
d.j. caruso,alex pettyfer,emily wickersham,reuben langdon,action|adventure|sci-fi|thriller,i am number four
stephen gaghan,matt damon,amr waked,kayvan novak,drama|thriller,syriana
michael bay,toby stephens,james badge dale,david costabile,action|drama|thriller|war,13 hours
jorge r. gutiérrez,channing tatum,hector elizondo,ana de la reguera,adventure|animation|comedy|family|fantasy|romance,the book of life
richard loncraine,jimmy bennett,harrison ford,mary lynn rajskub,crime|thriller,firewall
clint eastwood,clint eastwood,mark margolis,scott glenn,action|crime|drama|thriller,absolute power
ridley scott,viggo mortensen,demi moore,john michael higgins,action|drama|war,g.i. jane
david fincher,deborah kara unger,armin mueller-stahl,charles martinet,drama|mystery|thriller,the game
christophe gans,radha mitchell,deborah kara unger,alice krige,adventure|horror|mystery,silent hill
howard deutch,keanu reeves,jon favreau,faizon love,comedy|sport,the replacements
jon hurwitz,alyson hannigan,dania ramirez,natasha lyonne,comedy,american reunion
f. gary gray,kevin spacey,michael cudlitz,siobhan fallon hogan,action|crime|drama|mystery|thriller,the negotiator
steven quale,matt walsh,alycia debnam-carey,scott lawrence,action|thriller,into the storm
john landis,louis lombardi,jon tenney,gilbert r. hill,action|comedy|crime|thriller,beverly hills cop iii
joe dante,christopher lee,robert picardo,phoebe cates,comedy|fantasy|horror,gremlins 2: the new batch
david dobkin,robert downey jr.,robert duvall,leighton meester,crime|drama,the judge
mimi leder,armin mueller-stahl,holt mccallany,marcel iures,action|thriller,the peacemaker
alexander witt,milla jovovich,thomas kretschmann,mike epps,action|horror|sci-fi|thriller,resident evil: apocalypse
beeban kidron,colin firth,jim broadbent,celia imrie,comedy|drama|romance,bridget jones: the edge of reason
carl franklin,denzel washington,sanaa lathan,john billingsley,crime|drama|romance|thriller,out of time
steven seagal,mike starr,joan chen,sven-ole thorsen,action|adventure|thriller,on deadly ground
robert rodriguez,taylor lautner,kristin davis,taylor dooley,action|adventure|family|fantasy,the adventures of sharkboy and lavagirl 3-d
danny boyle,leonardo dicaprio,virginie ledoyen,peter youngblood hills,adventure|drama|thriller,the beach
garry marshall,amber valletta,felicity huffman,spencer breslin,comedy|drama|romance,raising helen
james mcteigue,shô kosugi,ben miles,rain,action|crime|thriller,ninja assassin
sam raimi,j.k. simmons,kelly preston,carmine giovinazzo,drama|romance|sport,for love of the game
unknown,david jason,bruce alexander,john lyons,crime|drama|mystery,a touch of frost
andrew bergman,demi moore,rumer willis,paul guilfoyle,comedy|crime|drama|thriller,striptease
tom dey,emma stone,judy greer,steve coogan,comedy|family,marmaduke
clint eastwood,matt damon,jay mohr,cécile de france,drama|fantasy,hereafter
barbet schroeder,ryan gosling,chris penn,agnes bruckner,crime|mystery|thriller,murder by numbers
richard donner,muse watson,sylvester stallone,kelly rowan,action|crime|thriller,assassins
peter webber,li gong,stephen walters,richard brake,crime|drama|thriller,hannibal rising
rob reiner,bruce willis,tim matheson,rita wilson,comedy|drama|romance,the story of us
andrew niccol,j.d. evermore,chandler canterbury,rachel roberts,action|adventure|romance|sci-fi|thriller,the host
john mctiernan,connie nielsen,harry connick jr.,tim daly,action|crime|drama|mystery|thriller,basic
clint eastwood,clint eastwood,anjelica huston,rick hoffman,action|crime|drama|mystery|thriller,blood work
tom tykwer,naomi watts,brían f. o'byrne,armin mueller-stahl,action|crime|drama|mystery|thriller,the international
john carpenter,steve buscemi,valeria golino,michelle forbes,action|adventure|sci-fi|thriller,escape from l.a.
unknown,grey damon,brittany curran,aaron hill,drama|mystery|thriller,twisted
brad bird,vin diesel,harry connick jr.,m. emmet walsh,action|adventure|animation|comedy|drama|family|sci-fi,the iron giant
wes anderson,bill murray,anjelica huston,matthew gray gubler,adventure|comedy|drama,the life aquatic with steve zissou
gary ross,matthew mcconaughey,donald watkins,jessica collins,action|biography|drama|history|war,free state of jones
alan parker,kevin spacey,kate winslet,matt craven,crime|drama|thriller,the life of david gale
stephen herek,christina milian,vanessa ferlito,kelli garner,action|comedy,man of the house
jaume collet-serra,liam neeson,common,bruce mcgill,action|crime|drama|thriller,run all night
david cronenberg,viggo mortensen,naomi watts,raza jaffrey,crime|mystery|thriller,eastern promises
john stockwell,paul walker,james frain,ashley scott,action|adventure|crime|thriller,into the blue
luc besson,paul brooke,david bailie,rab affleck,adventure|biography|drama|history|war,the messenger: the story of joan of arc
david gordon green,natalie portman,zooey deschanel,james franco,adventure|comedy|fantasy,your highness
jim sheridan,naomi watts,gregory smith,sarah gadon,drama|mystery|thriller,dream house
costa-gavras,mia kirshner,blythe danner,william atherton,crime|drama|thriller,mad city
patrick read johnson,joe mantegna,lara flynn boyle,cynthia nixon,adventure|comedy|crime|drama|family,baby's day out
roland joffé,gary oldman,robert duvall,demi moore,drama|romance,the scarlet letter
doug liman,naomi watts,ty burrell,brooke smith,biography|drama|thriller,fair game
unknown,julie benz,tony curran,grant bowler,action|drama|sci-fi,defiance
tony scott,ian ziering,mo'nique,edgar ramírez,action|biography|crime|drama|thriller,domino
william friedkin,michael biehn,chazz palminteri,linda fiorentino,crime|drama|thriller,jade
mark neveldine,gerard butler,logan lerman,alison lohman,action|sci-fi|thriller,gamer
richard lagravenese,alden ehrenreich,zoey deutch,pruitt taylor vince,drama|fantasy|romance,beautiful creatures
danny devito,robin williams,vincent schiavelli,danny woodburn,comedy|crime|drama|thriller,death to smoochy
ben stiller,milla jovovich,will ferrell,justin theroux,comedy,zoolander 2
george armitage,morgan freeman,andrew wilson,willie nelson,comedy|crime,the big bounce
mike nichols,judy greer,linda fiorentino,garry shandling,comedy|sci-fi,what planet are you from?
patrick lussier,nicolas cage,billy burke,katy mixon,action|fantasy|thriller,drive angry
andrzej bartkowiak,chris klein,robin shou,josie ho,action|crime|drama|mystery|thriller,street fighter: the legend of chun-li
james wong,jason statham,jet li,delroy lindo,action|sci-fi|thriller,the one
unknown,tobias menzies,graham mctavish,stephen walters,drama|romance|sci-fi,outlander
renny harlin,lauren holly,gilbert gottfried,david patrick kelly,action|adventure|comedy|crime|music|mystery,the adventures of ford fairlane
richard curtis,philip seymour hoffman,charlie rowe,tom sturridge,comedy|drama|music,pirate radio
steven soderbergh,michael o'neill,jacob vargas,james lew,crime|drama|thriller,traffic
steven spielberg,harrison ford,julian glover,alison doody,action|adventure|fantasy,indiana jones and the last crusade
joe wright,kelly macdonald,guro nagelhus schia,matthew macfadyen,drama|romance,anna karenina
neill blomkamp,hugh jackman,sharlto copley,jose pablo cantillo,action|crime|drama|sci-fi|thriller,chappie
phillip noyce,denzel washington,angelina jolie pitt,leland orser,crime|drama|mystery|thriller,the bone collector
david fincher,kristen stewart,dwight yoakam,mel rodriguez,crime|drama|thriller,panic room
chuck bowman,p.j. soles,lochlyn munro,steve bacic,horror|thriller,the tooth fairy
david o. russell,judy greer,jamie kennedy,mykelti williamson,action|adventure|comedy|drama|war,three kings
daniel espinosa,tom hardy,fares fares,michael nardone,crime|drama|thriller,child 44
jerry zucker,corinna harney,douglas haase,vince vieluf,adventure|comedy,rat race
iain softley,kevin spacey,jeff bridges,alfre woodard,drama|mystery|sci-fi,k-pax
james mangold,hugh jackman,natasha lyonne,bradley whitford,comedy|fantasy|romance,kate & leopold
harold ramis,brendan fraser,frances o'connor,brian doyle-murray,comedy|fantasy|romance,bedazzled
francis ford coppola,nicolas cage,bob hoskins,fred gwynne,crime|drama|music,the cotton club
james mangold,christian bale,logan lerman,gretchen mol,adventure|crime|drama|western,3:10 to yuma
olivier megaton,liam neeson,dougray scott,jon gries,action|thriller,taken 3
steven soderbergh,don cheadle,albert brooks,keith hudson,crime|drama|romance|thriller,out of sight
ben stiller,matthew broderick,janeane garofalo,andy dick,comedy|drama|thriller,the cable guy
deepa mehta,nandita das,gulshan grover,eric peterson,drama|romance|war,earth
warren beatty,charlie korsmo,warren beatty,seymour cassel,action|comedy|crime|music|romance|thriller,dick tracy
john mctiernan,mark margolis,faye dunaway,denis leary,crime|romance|thriller,the thomas crown affair
penny marshall,rosie perez,adam garcia,alissa dean,biography|comedy|drama,riding in cars with boys
ted kotcheff,sylvester stallone,brian dennehy,chris mulkey,action|adventure|drama,first blood
andrei tarkovsky,donatas banionis,anatoliy solonitsyn,natalya bondarchuk,drama|mystery|sci-fi,solaris
paul bolger,sarah michelle gellar,george carlin,rob paulsen,adventure|animation|comedy|family|fantasy,happily n'ever after
stephen frears,julia roberts,bronagh gallagher,george cole,drama|horror|romance|thriller,mary reilly
p.j. hogan,julia roberts,christopher masterson,rupert everett,comedy|romance,my best friend's wedding
joe roth,julia roberts,rainn wilson,larry king,comedy|romance,america's sweethearts
christopher nolan,al pacino,maura tierney,crystal lowe,drama|mystery|thriller,insomnia
jonathan frakes,levar burton,alfre woodard,jonathan frakes,action|adventure|drama|sci-fi|thriller,star trek: first contact
jimmy hayward,michael fassbender,billy blair,julia jones,action|drama|fantasy|thriller|western,jonah hex
edward zwick,denzel washington,matt damon,scott glenn,action|drama|mystery|thriller|war,courage under fire
tom shadyac,maura tierney,swoosie kurtz,randall 'tex' cobb,comedy|fantasy|romance,liar liar
brad furman,joseph gilgun,amy ryan,olympia dukakis,biography|crime|drama|thriller,the infiltrator
terence young,laurence olivier,ben gazzara,jacqueline bisset,drama|history|war,inchon
brian levant,jonathan winters,elizabeth perkins,harvey korman,comedy|family|fantasy,the flintstones
